date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2020-07-30,15.489999771118164,17.5,15.100000381469727,16.459999084472656,16.459999084472656,64611300,0.0,0.0
2020-07-31,16.670000076293945,17.170000076293945,15.989999771118164,16.0,16.0,19532800,0.0,0.0
2020-08-03,16.260000228881836,17.0,15.770000457763672,16.360000610351562,16.360000610351562,11740000,0.0,0.0
2020-08-04,16.549999237060547,16.84000015258789,15.949999809265137,16.690000534057617,16.690000534057617,7781800,0.0,0.0
2020-08-05,16.64900016784668,17.0,16.399999618530273,16.75,16.75,3991400,0.0,0.0
2020-08-06,16.799999237060547,19.899999618530273,16.6299991607666,18.5,18.5,14142900,0.0,0.0
2020-08-07,17.75,19.329999923706055,16.600000381469727,16.889999389648438,16.889999389648438,7459700,0.0,0.0
2020-08-10,17.600000381469727,17.760000228881836,16.1200008392334,16.420000076293945,16.420000076293945,7914400,0.0,0.0
2020-08-11,16.93000030517578,17.030000686645508,15.829999923706055,16.0,16.0,7337700,0.0,0.0
2020-08-12,16.360000610351562,16.360000610351562,15.135000228881836,15.65999984741211,15.65999984741211,5610900,0.0,0.0
2020-08-13,15.699999809265137,15.699999809265137,15.0,15.15999984741211,15.15999984741211,5384600,0.0,0.0
2020-08-14,15.350000381469727,15.359999656677246,14.3100004196167,14.600000381469727,14.600000381469727,5070200,0.0,0.0
2020-08-17,14.760000228881836,15.600000381469727,14.600000381469727,15.420000076293945,15.420000076293945,5296500,0.0,0.0
2020-08-18,15.36400032043457,16.75,15.359999656677246,15.960000038146973,15.960000038146973,7163100,0.0,0.0
2020-08-19,15.979999542236328,16.06999969482422,15.010000228881836,15.039999961853027,15.039999961853027,3288000,0.0,0.0
2020-08-20,15.0600004196167,15.300000190734863,14.609999656677246,14.75,14.75,3138900,0.0,0.0
2020-08-21,14.9399995803833,15.5,14.760000228881836,15.020000457763672,15.020000457763672,4223600,0.0,0.0
2020-08-24,16.299999237060547,17.200000762939453,15.880000114440918,17.09000015258789,17.09000015258789,19359100,0.0,0.0
2020-08-25,17.797000885009766,18.84000015258789,17.68000030517578,18.229999542236328,18.229999542236328,22093900,0.0,0.0
2020-08-26,18.989999771118164,24.479999542236328,18.989999771118164,23.3799991607666,23.3799991607666,31561300,0.0,0.0
2020-08-27,22.260000228881836,22.309999465942383,19.299999237060547,19.3799991607666,19.3799991607666,29318200,0.0,0.0
2020-08-28,20.209999084472656,20.5,17.600000381469727,17.600000381469727,17.600000381469727,14639300,0.0,0.0
2020-08-31,17.759000778198242,18.84000015258789,16.200000762939453,16.299999237060547,16.299999237060547,18322700,0.0,0.0
2020-09-01,17.079999923706055,18.459999084472656,16.700000762939453,18.290000915527344,18.290000915527344,18119400,0.0,0.0
2020-09-02,19.3799991607666,19.68000030517578,17.200000762939453,17.8700008392334,17.8700008392334,18415000,0.0,0.0
2020-09-03,17.173999786376953,17.600000381469727,16.260000228881836,16.90999984741211,16.90999984741211,10210100,0.0,0.0
2020-09-04,17.079999923706055,17.899999618530273,16.040000915527344,16.829999923706055,16.829999923706055,11650600,0.0,0.0
2020-09-08,16.0,16.350000381469727,15.239999771118164,15.789999961853027,15.789999961853027,11067600,0.0,0.0
2020-09-09,16.40999984741211,16.950000762939453,15.789999961853027,15.800000190734863,15.800000190734863,9115600,0.0,0.0
2020-09-10,16.170000076293945,16.729999542236328,15.859999656677246,16.049999237060547,16.049999237060547,5893400,0.0,0.0
2020-09-11,16.190000534057617,16.700000762939453,16.049999237060547,16.209999084472656,16.209999084472656,3915000,0.0,0.0
2020-09-14,16.600000381469727,17.709999084472656,16.31100082397461,17.469999313354492,17.469999313354492,6429200,0.0,0.0
2020-09-15,17.65999984741211,18.75,17.649999618530273,18.190000534057617,18.190000534057617,9376700,0.0,0.0
2020-09-16,18.200000762939453,18.43000030517578,17.42099952697754,17.520000457763672,17.520000457763672,5713800,0.0,0.0
2020-09-17,16.739999771118164,17.649999618530273,16.700000762939453,17.260000228881836,17.260000228881836,3141300,0.0,0.0
2020-09-18,17.56999969482422,17.68000030517578,16.56999969482422,17.030000686645508,17.030000686645508,3817500,0.0,0.0
2020-09-21,16.5,16.8700008392334,16.0,16.43000030517578,16.43000030517578,4288700,0.0,0.0
2020-09-22,16.559999465942383,17.18000030517578,16.420000076293945,16.739999771118164,16.739999771118164,3043400,0.0,0.0
2020-09-23,16.75,16.75,15.609999656677246,15.680000305175781,15.680000305175781,6602000,0.0,0.0
2020-09-24,15.5,15.970000267028809,15.020000457763672,15.09000015258789,15.09000015258789,6846800,0.0,0.0
2020-09-25,15.350000381469727,16.06999969482422,15.229999542236328,15.800000190734863,15.800000190734863,3636800,0.0,0.0
2020-09-28,16.190000534057617,16.209999084472656,15.739999771118164,16.079999923706055,16.079999923706055,4720500,0.0,0.0
2020-09-29,16.079999923706055,17.15999984741211,16.0,17.030000686645508,17.030000686645508,6037800,0.0,0.0
2020-09-30,17.6200008392334,18.239999771118164,17.09000015258789,17.389999389648438,17.389999389648438,7620300,0.0,0.0
2020-10-01,17.760000228881836,17.780000686645508,16.549999237060547,16.799999237060547,16.799999237060547,5425600,0.0,0.0
2020-10-02,16.25,18.0,16.200000762939453,16.920000076293945,16.920000076293945,8396700,0.0,0.0
2020-10-05,17.420000076293945,18.1299991607666,17.149999618530273,17.520000457763672,17.520000457763672,8143900,0.0,0.0
2020-10-06,17.719999313354492,18.229999542236328,17.25,17.350000381469727,17.350000381469727,5659300,0.0,0.0
2020-10-07,17.600000381469727,18.079999923706055,17.40999984741211,17.770000457763672,17.770000457763672,3100700,0.0,0.0
2020-10-08,17.979999542236328,18.280000686645508,17.719999313354492,17.93000030517578,17.93000030517578,3228500,0.0,0.0
2020-10-09,18.030000686645508,18.360000610351562,17.5,17.600000381469727,17.600000381469727,3833100,0.0,0.0
2020-10-12,18.059999465942383,19.34000015258789,17.610000610351562,19.15999984741211,19.15999984741211,13995300,0.0,0.0
2020-10-13,18.809999465942383,19.729999542236328,18.530000686645508,19.43000030517578,19.43000030517578,7894100,0.0,0.0
2020-10-14,20.16699981689453,21.860000610351562,20.059999465942383,20.780000686645508,20.780000686645508,16666800,0.0,0.0
2020-10-15,20.350000381469727,21.469999313354492,19.780000686645508,20.5,20.5,11747600,0.0,0.0
2020-10-16,20.850000381469727,21.1200008392334,19.610000610351562,19.770000457763672,19.770000457763672,7456000,0.0,0.0
2020-10-19,20.34000015258789,20.3700008392334,18.90999984741211,19.18000030517578,19.18000030517578,6444700,0.0,0.0
2020-10-20,19.209999084472656,20.780000686645508,19.0,20.489999771118164,20.489999771118164,7623900,0.0,0.0
2020-10-21,20.299999237060547,21.100000381469727,19.360000610351562,19.389999389648438,19.389999389648438,8402500,0.0,0.0
2020-10-22,20.0,20.100000381469727,18.719999313354492,18.979999542236328,18.979999542236328,6343400,0.0,0.0
2020-10-23,18.899999618530273,18.989999771118164,18.309999465942383,18.399999618530273,18.399999618530273,3624300,0.0,0.0
2020-10-26,18.299999237060547,19.260000228881836,18.299999237060547,19.079999923706055,19.079999923706055,5672300,0.0,0.0
2020-10-27,18.959999084472656,19.610000610351562,18.6200008392334,19.209999084472656,19.209999084472656,4301800,0.0,0.0
2020-10-28,18.68000030517578,19.100000381469727,17.920000076293945,18.690000534057617,18.690000534057617,6231200,0.0,0.0
2020-10-29,19.309999465942383,21.399999618530273,19.174999237060547,20.6200008392334,20.6200008392334,14660600,0.0,0.0
2020-10-30,20.489999771118164,21.719999313354492,20.06999969482422,20.170000076293945,20.170000076293945,11936300,0.0,0.0
2020-11-02,21.760000228881836,23.299999237060547,21.360000610351562,22.8799991607666,22.8799991607666,24942100,0.0,0.0
2020-11-03,23.399999618530273,24.170000076293945,22.049999237060547,24.049999237060547,24.049999237060547,15563100,0.0,0.0
2020-11-04,25.690000534057617,27.670000076293945,24.059999465942383,25.309999465942383,25.309999465942383,28970600,0.0,0.0
2020-11-05,26.959999084472656,28.489999771118164,26.0,28.09000015258789,28.09000015258789,32302800,0.0,0.0
2020-11-06,27.59000015258789,28.31999969482422,25.29800033569336,26.459999084472656,26.459999084472656,32691700,0.0,0.0
2020-11-09,26.3700008392334,26.520000457763672,25.290000915527344,26.299999237060547,26.299999237060547,14752100,0.0,0.0
2020-11-10,25.799999237060547,26.479999542236328,23.18000030517578,25.239999771118164,25.239999771118164,16860000,0.0,0.0
2020-11-11,24.06999969482422,25.270000457763672,23.059999465942383,24.969999313354492,24.969999313354492,11897500,0.0,0.0
2020-11-12,27.05500030517578,32.779998779296875,26.399999618530273,31.780000686645508,31.780000686645508,83071000,0.0,0.0
2020-11-13,38.7599983215332,40.805999755859375,30.110000610351562,31.200000762939453,31.200000762939453,169787700,0.0,0.0
2020-11-16,31.329999923706055,36.970001220703125,30.969999313354492,35.54999923706055,35.54999923706055,85858000,0.0,0.0
2020-11-17,37.779998779296875,38.0,34.45000076293945,35.04999923706055,35.04999923706055,45851900,0.0,0.0
2020-11-18,35.06999969482422,36.650001525878906,33.5,35.4900016784668,35.4900016784668,28208900,0.0,0.0
2020-11-19,35.599998474121094,37.29999923706055,34.810001373291016,36.7400016784668,36.7400016784668,27079800,0.0,0.0
2020-11-20,37.029998779296875,39.8650016784668,36.29999923706055,38.119998931884766,38.119998931884766,41861000,0.0,0.0
2020-11-23,41.47999954223633,44.18000030517578,40.86000061035156,43.63999938964844,43.63999938964844,63691500,0.0,0.0
2020-11-24,47.58000183105469,47.70000076293945,41.5,43.959999084472656,43.959999084472656,64681300,0.0,0.0
2020-11-25,39.459999084472656,41.83000183105469,38.75,40.720001220703125,40.720001220703125,40985400,0.0,0.0
2020-11-27,40.279998779296875,42.150001525878906,38.279998779296875,39.47999954223633,39.47999954223633,26503600,0.0,0.0
2020-11-30,38.529998779296875,38.650001525878906,35.0,35.9900016784668,35.9900016784668,29779800,0.0,0.0
2020-12-01,39.189998626708984,39.349998474121094,34.22999954223633,34.86000061035156,34.86000061035156,42075400,0.0,0.0
2020-12-02,31.979999542236328,35.70000076293945,30.950000762939453,34.75,34.75,43741900,0.0,0.0
2020-12-03,35.529998779296875,36.58000183105469,32.18000030517578,32.310001373291016,32.310001373291016,32565100,0.0,0.0
